date_created,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7,new_type,new_market
22/03/2022,17,1,null,null,null,null,1,null,type_2,market_2
10/01/2022,37,null,1,1,null,null,null,null,type_2,market_2
28/01/2022,36,2,null,2,null,1,null,null,type_2,market_2
04/03/2022,16,1,null,null,null,null,1,null,type_5,market_2
02/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
08/02/2022,24,null,1,null,null,null,null,null,type_5,market_2
18/02/2022,18,1,1,null,null,1,null,null,type_5,market_2
13/02/2022,11,null,1,null,null,null,null,null,type_2,market_2
19/03/2022,11,1,1,1,1,1,null,null,type_5,market_2
29/01/2022,1,0,0,0,0,0,0,0,type_1,market_2
17/02/2022,33,2,null,null,1,2,3,null,type_2,market_2
15/02/2022,23,1,1,1,2,null,null,null,type_5,market_2
11/02/2022,2,0,0,0,0,0,0,0,type_1,market_2
18/03/2022,1,null,null,1,null,null,1,null,type_3,market_2
11/03/2022,17,null,2,5,3,null,null,1,type_5,market_2
29/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
05/02/2022,11,null,null,null,1,null,null,null,type_2,market_2
31/03/2022,17,null,null,null,null,null,null,null,type_5,market_2
26/02/2022,13,1,null,null,null,null,null,null,type_2,market_2
23/01/2022,12,null,null,null,null,null,1,1,type_5,market_2
26/03/2022,11,2,null,null,null,1,null,null,type_2,market_2
09/02/2022,1,0,0,0,0,0,0,0,type_1,market_2
16/01/2022,11,1,1,null,null,null,null,null,type_5,market_2
07/02/2022,1,null,1,null,null,null,null,null,type_4,market_2
05/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
03/02/2022,23,2,4,2,1,1,2,null,type_5,market_2
11/02/2022,17,null,1,null,null,null,null,null,type_2,market_2
03/02/2022,null,null,null,null,null,null,1,null,type_4,market_2
18/03/2022,4,1,0,0,0,0,0,0,type_1,market_2
31/03/2022,1,null,null,null,null,null,1,null,type_3,market_2
16/02/2022,3,0,0,1,0,0,0,0,type_1,market_2
09/01/2022,6,1,null,null,null,null,null,null,type_2,market_2
12/03/2022,1,null,null,null,null,null,null,null,type_3,market_2
21/02/2022,20,1,1,null,null,null,1,null,type_5,market_2
27/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
07/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
20/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
04/02/2022,7,0,0,0,0,0,0,0,type_1,market_2
16/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
27/01/2022,3,0,0,0,0,0,0,0,type_1,market_2
19/02/2022,11,null,2,null,null,null,null,null,type_5,market_2
04/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
12/01/2022,29,3,2,null,null,null,null,1,type_2,market_2
22/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
20/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
03/03/2022,24,5,null,null,null,null,null,null,type_2,market_2
09/02/2022,15,null,null,null,null,null,1,null,type_2,market_2
27/01/2022,15,null,null,null,null,null,1,null,type_5,market_2
12/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
20/01/2022,5,0,0,0,0,0,0,0,type_1,market_2
10/01/2022,7,null,1,null,null,null,null,null,type_3,market_2
30/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
25/03/2022,3,0,0,1,1,0,0,0,type_1,market_2
17/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
14/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
16/03/2022,null,null,null,null,null,1,null,null,type_3,market_2
01/01/2022,21,2,4,null,null,1,1,null,type_2,market_2
17/02/2022,23,4,1,null,null,1,null,4,type_5,market_2
05/02/2022,19,null,null,1,1,null,null,null,type_5,market_2
13/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
22/01/2022,16,1,null,null,null,null,null,null,type_2,market_2
28/02/2022,43,2,null,null,2,null,null,1,type_2,market_2
20/02/2022,3,null,1,null,2,null,null,null,type_2,market_2
08/01/2022,1,4,1,0,0,0,0,0,type_1,market_2
23/03/2022,1,null,null,null,null,null,null,null,type_3,market_2
20/01/2022,17,3,2,1,null,null,null,null,type_5,market_2
27/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
26/01/2022,2,0,0,1,0,0,0,0,type_1,market_2
14/01/2022,5,0,0,0,0,0,2,0,type_1,market_2
11/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
23/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
26/01/2022,23,null,null,null,2,null,null,null,type_2,market_2
14/02/2022,4,0,0,0,0,0,0,0,type_1,market_2
11/03/2022,1,null,null,null,null,null,null,null,type_4,market_2
18/01/2022,26,2,1,1,null,null,null,null,type_2,market_2
12/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
13/03/2022,6,4,null,null,null,null,null,null,type_5,market_2
07/02/2022,3,0,0,0,0,0,0,0,type_1,market_2
21/03/2022,19,1,1,1,null,null,1,null,type_5,market_2
13/01/2022,31,1,null,null,null,null,null,null,type_2,market_2
14/03/2022,36,5,null,1,1,2,null,null,type_5,market_2
29/03/2022,18,2,1,null,null,null,null,1,type_2,market_2
25/02/2022,3,0,0,0,0,0,0,0,type_1,market_2
03/01/2022,32,2,null,1,4,null,null,1,type_5,market_2
19/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
28/02/2022,38,2,1,null,null,null,null,null,type_5,market_2
23/03/2022,3,0,1,0,0,0,0,0,type_1,market_2
08/03/2022,3,0,0,0,0,0,0,0,type_1,market_2
15/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
20/03/2022,13,null,null,null,null,1,null,null,type_5,market_2
23/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
10/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
18/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
20/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
10/03/2022,1,null,null,null,null,null,null,null,type_3,market_2
22/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
04/01/2022,33,3,null,1,null,null,null,null,type_5,market_2
15/02/2022,2,null,null,null,null,null,null,null,type_3,market_2
06/01/2022,22,1,null,null,null,null,null,1,type_5,market_2
28/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
26/01/2022,27,1,2,null,null,null,null,null,type_5,market_2
09/02/2022,27,2,null,1,null,null,null,null,type_5,market_2
23/02/2022,null,1,null,null,null,null,null,1,type_3,market_2
03/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
14/01/2022,34,1,null,null,null,null,null,null,type_5,market_2
24/01/2022,24,5,null,1,null,null,null,null,type_5,market_2
16/03/2022,26,3,2,null,null,null,1,null,type_5,market_2
27/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
23/01/2022,12,3,null,1,1,null,null,1,type_2,market_2
13/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
17/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
24/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
17/01/2022,6,0,0,0,0,0,0,0,type_1,market_2
05/01/2022,29,2,3,null,null,null,null,null,type_5,market_2
30/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
04/02/2022,16,null,null,1,null,null,null,null,type_2,market_2
22/02/2022,28,2,2,null,null,1,null,2,type_2,market_2
29/01/2022,15,null,1,null,null,null,null,null,type_2,market_2
25/01/2022,25,1,null,null,null,null,null,1,type_2,market_2
26/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
15/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
06/02/2022,11,4,null,1,null,null,null,null,type_5,market_2
13/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
13/03/2022,null,0,0,0,0,0,0,0,type_1,market_2
15/03/2022,4,null,null,null,null,null,null,null,type_3,market_2
31/03/2022,32,2,null,1,null,null,1,null,type_2,market_2
18/03/2022,23,1,1,4,1,null,2,1,type_5,market_2
07/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
12/01/2022,6,0,0,0,0,0,0,1,type_1,market_2
02/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
04/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
18/02/2022,3,0,0,0,0,0,0,0,type_1,market_2
17/02/2022,1,1,null,null,null,null,null,null,type_3,market_2
20/02/2022,1,0,0,0,0,0,0,0,type_1,market_2
23/03/2022,26,2,2,1,null,null,null,null,type_5,market_2
11/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
19/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
16/02/2022,21,null,3,null,null,1,1,null,type_5,market_2
03/02/2022,36,1,1,null,5,1,1,1,type_2,market_2
01/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
05/03/2022,1,0,0,0,0,0,0,0,type_1,market_2
25/03/2022,25,1,null,null,null,null,null,null,type_5,market_2
28/03/2022,6,0,0,1,0,0,0,0,type_1,market_2
06/03/2022,null,0,0,0,0,0,0,0,type_1,market_2
28/01/2022,10,null,null,1,null,null,null,null,type_5,market_2
13/02/2022,3,0,0,0,0,0,0,0,type_1,market_2
05/01/2022,39,3,1,null,null,null,null,null,type_2,market_2
14/01/2022,28,2,null,null,null,null,null,null,type_2,market_2
02/03/2022,3,null,null,null,null,null,null,1,type_3,market_2
14/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
13/02/2022,12,1,null,null,null,null,null,null,type_5,market_2
21/02/2022,18,1,null,null,1,null,null,3,type_2,market_2
05/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
08/01/2022,21,2,1,null,2,1,1,null,type_5,market_2
01/03/2022,1,0,0,0,0,0,0,0,type_1,market_2
14/01/2022,1,null,null,null,null,null,null,null,type_4,market_2
08/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
24/02/2022,1,null,null,null,null,null,1,null,type_3,market_2
24/01/2022,20,3,null,null,null,null,null,1,type_2,market_2
04/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
18/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
16/01/2022,3,0,0,0,0,0,0,0,type_1,market_2
06/03/2022,10,5,1,null,null,null,null,null,type_5,market_2
17/03/2022,13,null,1,null,1,null,null,1,type_2,market_2
06/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
19/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
23/02/2022,1,0,0,0,0,0,0,0,type_1,market_2
16/03/2022,5,0,0,0,0,0,0,0,type_1,market_2
12/02/2022,16,null,1,1,1,null,null,null,type_5,market_2
30/03/2022,3,1,0,0,0,0,0,0,type_1,market_2
27/02/2022,8,1,null,null,null,null,null,null,type_5,market_2
15/03/2022,5,0,0,0,0,0,0,0,type_1,market_2
09/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
03/02/2022,3,0,0,0,0,0,0,0,type_1,market_2
26/02/2022,1,0,1,0,0,0,0,0,type_1,market_2
27/02/2022,null,0,0,0,0,0,0,0,type_1,market_2
31/01/2022,38,null,null,1,null,1,null,null,type_2,market_2
05/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
08/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
11/03/2022,17,null,null,null,null,null,null,null,type_2,market_2
25/03/2022,23,1,null,null,null,1,null,null,type_2,market_2
23/03/2022,28,null,1,null,null,null,null,null,type_2,market_2
19/02/2022,14,null,1,null,null,null,null,null,type_2,market_2
23/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
07/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
23/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
25/02/2022,14,1,null,2,null,null,null,null,type_5,market_2
07/03/2022,34,5,null,1,null,null,null,null,type_5,market_2
19/02/2022,3,0,0,0,0,0,0,0,type_1,market_2
07/03/2022,2,null,null,null,null,null,null,null,type_3,market_2
21/03/2022,2,null,null,1,null,null,null,2,type_3,market_2
25/03/2022,null,null,null,null,1,null,null,1,type_3,market_2
15/03/2022,26,2,1,1,null,null,null,2,type_5,market_2
18/02/2022,25,null,null,1,2,1,1,null,type_2,market_2
10/02/2022,13,null,null,null,null,null,null,null,type_5,market_2
01/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
12/02/2022,2,0,0,0,0,0,0,0,type_1,market_2
10/01/2022,26,1,4,1,null,null,null,1,type_5,market_2
25/01/2022,30,2,null,null,null,null,null,null,type_5,market_2
21/01/2022,23,2,1,1,2,null,null,null,type_5,market_2
27/03/2022,11,1,null,null,null,null,null,null,type_2,market_2
09/03/2022,17,3,null,2,1,3,null,null,type_5,market_2
13/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
10/02/2022,5,0,0,0,0,0,0,1,type_1,market_2
03/01/2022,66,3,3,4,6,2,1,2,type_2,market_2
01/02/2022,2,1,0,1,0,0,0,0,type_1,market_2
28/01/2022,3,0,0,0,0,0,0,0,type_1,market_2
17/01/2022,26,2,null,null,null,null,null,null,type_2,market_2
09/01/2022,1,1,null,null,null,null,null,null,type_3,market_2
02/03/2022,27,4,null,1,null,3,null,null,type_5,market_2
04/03/2022,4,null,null,1,null,1,null,null,type_3,market_2
30/01/2022,10,2,null,null,null,null,null,null,type_5,market_2
15/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
31/01/2022,2,null,null,null,null,null,null,null,type_4,market_2
06/01/2022,1,null,null,null,null,null,null,null,type_4,market_2
18/01/2022,5,0,0,0,0,0,0,0,type_1,market_2
07/03/2022,33,1,1,null,null,null,null,3,type_2,market_2
04/01/2022,48,7,4,2,null,null,1,2,type_2,market_2
16/03/2022,18,1,1,1,null,null,null,null,type_2,market_2
07/01/2022,5,0,0,0,0,1,0,0,type_1,market_2
30/03/2022,31,1,null,null,null,null,null,2,type_2,market_2
12/01/2022,27,1,1,null,null,null,null,2,type_5,market_2
14/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
08/01/2022,20,null,null,null,null,null,null,null,type_2,market_2
24/03/2022,33,1,null,null,4,1,1,null,type_5,market_2
20/02/2022,14,1,1,null,null,null,null,1,type_5,market_2
24/02/2022,26,null,1,null,null,null,1,null,type_5,market_2
04/03/2022,1,0,0,0,0,0,0,0,type_1,market_2
03/03/2022,24,null,2,null,null,null,null,null,type_5,market_2
19/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
15/01/2022,22,1,1,null,2,null,1,1,type_5,market_2
16/02/2022,2,null,null,null,null,null,null,null,type_3,market_2
25/01/2022,4,0,0,0,0,0,0,0,type_1,market_2
01/01/2022,2,0,0,0,0,0,0,0,type_1,market_2
18/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
25/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
30/01/2022,null,1,null,null,null,null,null,null,type_4,market_2
05/02/2022,1,0,1,0,0,0,0,0,type_1,market_2
08/03/2022,25,2,3,null,null,null,null,2,type_5,market_2
21/01/2022,1,null,null,null,null,null,null,null,type_4,market_2
01/02/2022,17,4,null,null,1,1,1,null,type_5,market_2
14/02/2022,18,1,null,null,null,null,null,null,type_5,market_2
12/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
08/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
06/01/2022,8,0,0,0,0,0,1,0,type_1,market_2
11/01/2022,33,4,null,1,null,null,null,null,type_5,market_2
25/03/2022,1,null,null,null,null,null,null,null,type_4,market_2
15/02/2022,1,0,0,0,0,0,0,0,type_1,market_2
11/01/2022,22,2,1,null,null,null,null,null,type_2,market_2
08/02/2022,4,0,0,0,0,0,0,0,type_1,market_2
02/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
15/01/2022,15,1,null,null,null,null,null,null,type_2,market_2
10/03/2022,2,1,0,0,0,0,0,0,type_1,market_2
22/03/2022,2,0,0,0,0,0,1,0,type_1,market_2
08/02/2022,1,null,null,null,null,null,null,null,type_3,market_2
16/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
10/03/2022,23,null,null,1,2,null,1,1,type_5,market_2
20/01/2022,21,null,null,null,1,2,null,null,type_2,market_2
03/03/2022,4,0,0,0,0,0,0,0,type_1,market_2
22/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
13/03/2022,10,null,null,null,null,null,null,null,type_2,market_2
06/03/2022,9,null,1,null,null,null,null,null,type_2,market_2
17/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
24/03/2022,1,null,null,null,null,null,null,null,type_4,market_2
26/01/2022,3,null,null,null,null,null,null,null,type_3,market_2
05/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
12/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
27/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
12/03/2022,16,1,2,null,null,null,null,null,type_5,market_2
19/03/2022,9,null,1,null,null,1,null,null,type_2,market_2
22/02/2022,1,null,null,null,null,null,null,null,type_4,market_2
06/02/2022,4,1,null,null,null,1,null,1,type_2,market_2
21/02/2022,1,null,null,null,null,null,null,null,type_4,market_2
19/03/2022,5,0,0,0,0,0,0,0,type_1,market_2
19/01/2022,24,null,1,null,1,1,null,null,type_2,market_2
18/01/2022,39,1,null,1,null,1,null,null,type_5,market_2
09/03/2022,5,0,0,0,0,0,0,0,type_1,market_2
19/01/2022,2,0,0,0,0,0,0,0,type_1,market_2
06/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
17/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
08/03/2022,24,3,null,null,null,null,null,2,type_2,market_2
09/01/2022,13,null,null,null,null,2,null,null,type_5,market_2
02/01/2022,4,0,0,1,0,0,0,0,type_1,market_2
06/01/2022,29,5,null,null,null,null,null,null,type_2,market_2
11/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
07/02/2022,19,null,null,1,null,null,null,null,type_2,market_2
03/01/2022,12,0,0,1,0,0,0,0,type_1,market_2
10/02/2022,19,3,null,null,null,null,null,2,type_2,market_2
02/03/2022,32,null,4,null,1,null,null,1,type_2,market_2
19/03/2022,2,null,null,null,null,null,null,null,type_3,market_2
08/01/2022,null,null,null,null,null,null,null,null,type_4,market_2
27/02/2022,11,1,null,null,null,null,null,null,type_2,market_2
03/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
25/01/2022,1,null,null,null,null,null,null,null,type_3,market_2
02/02/2022,4,0,2,0,0,0,0,0,type_1,market_2
25/02/2022,13,null,null,2,null,null,1,null,type_2,market_2
08/02/2022,17,3,null,null,null,null,null,null,type_2,market_2
19/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
01/03/2022,null,null,null,null,null,null,null,null,type_4,market_2
29/01/2022,null,null,1,null,null,null,null,null,type_3,market_2
06/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
28/01/2022,null,null,null,null,null,null,null,null,type_3,market_2
31/01/2022,1,0,0,1,0,0,0,0,type_1,market_2
14/03/2022,5,0,0,0,0,0,0,0,type_1,market_2
19/01/2022,32,null,3,1,null,2,3,null,type_5,market_2
15/03/2022,23,1,1,null,null,null,null,2,type_2,market_2
22/01/2022,3,0,0,0,0,0,0,0,type_1,market_2
02/01/2022,22,2,1,2,null,null,null,null,type_5,market_2
21/02/2022,1,0,0,0,0,0,0,0,type_1,market_2
13/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
21/03/2022,32,2,null,1,null,null,null,1,type_2,market_2
02/01/2022,12,1,2,1,3,null,null,null,type_2,market_2
13/01/2022,22,6,1,null,null,null,1,null,type_5,market_2
05/02/2022,null,null,null,null,null,null,null,null,type_4,market_2
11/03/2022,null,null,null,null,null,null,null,null,type_3,market_2
06/02/2022,null,1,0,0,0,0,0,0,type_1,market_2
17/01/2022,25,2,2,1,null,2,null,null,type_5,market_2
23/01/2022,1,0,0,0,0,0,0,0,type_1,market_2
05/03/2022,16,null,2,1,null,2,null,null,type_2,market_2
22/02/2022,23,1,4,null,null,1,1,null,type_5,market_2
11/03/2022,4,0,0,0,0,0,0,0,type_1,market_2
11/02/2022,18,1,null,null,1,3,null,null,type_5,market_2
12/02/2022,11,1,null,1,null,null,null,null,type_2,market_2
26/02/2022,null,null,null,null,null,null,null,null,type_3,market_2
04/01/2022,8,1,1,0,0,0,0,0,type_1,market_2
09/03/2022,25,4,1,1,null,null,1,null,type_2,market_2
02/02/2022,24,1,null,null,1,1,1,null,type_2,market_2
28/02/2022,5,0,0,0,0,0,0,0,type_1,market_2
10/02/2022,1,null,null,null,1,null,1,null,type_3,market_2
17/02/2022,4,0,0,0,0,2,0,0,type_1,market_2
05/01/2022,1,null,null,null,null,null,null,null,type_4,market_2
